data/dblp-author/dblp.txt 
graph size:n1: 1953085 n2:5624219, m 12282059
load graph
maxDu:1386 maxDv:287
H:10
T:100000
start dp first
dp fitsrt 7.00s
maxPlen 10
sumW:31673959 sumW:36703164 sumW:47933285 sumW:144938929 sumW:537552728 sumW:1401515029 sumW:2423661929 sumW:2749501853 sumW:2010194644 

2-2: 31673959
2-3: 334808760
2-4: 8651168355
2-5: 356758155267
2-6: 17322196607710
2-7: 843978474912058
2-8: 38721322486724832
2-9: 1639369248145881088
3-2: 14018821
3-3: 27517322
3-4: 211259681
3-5: 2609336507
3-6: 36133934682
3-7: 486211695996
3-8: 6078819923683
3-9: 69774965265843
4-2: 271549638
4-3: 12564508
4-4: 35175773
4-5: 161933853
4-6: 1201337164
4-7: 11091540750
4-8: 102224423265
4-9: 871419729764
5-2: 14404473234
5-3: 28663197
5-4: 59361773
5-5: 125489802
5-6: 238872442
5-7: 433817639
5-8: 798180856
5-9: 1489729037
6-2: 662509807862
6-3: 82386327
6-4: 160167132
6-5: 307904801
6-6: 485484777
6-7: 641584982
6-8: 769206485
6-9: 932625815
7-2: 26108003698985
7-3: 216553470
7-4: 395188610
7-5: 739046864
7-6: 1100492521
7-7: 1290497854
7-8: 1220785764
7-9: 984962278
8-2: 897376156015977
8-3: 504240084
8-4: 835625173
8-5: 1545866183
8-6: 2266721681
8-7: 2581509651
8-8: 2287960665
8-9: 1586443978
9-2: 27319575779236316
9-3: 1053790283
9-4: 1498383973
9-5: 2747369473
9-6: 4006440928
9-7: 4530409530
9-8: 3957435264
9-9: 2651244124
time:18999ms
