data/github/github.txt 
graph size:n1: 56519 n2:120867, m 440237
load graph
exact:46721
sample:9798
start dp first
sumW:49760271 sumW:2439964180 sumW:68488441117 sumW:1204880394376 sumW:14545337647458 sumW:130735583145986 sumW:914235714418295 sumW:5096409513658011 sumW:22803684820049812 sumW:81472121907463424 sumW:229620364763383776 sumW:503467582187396032 sumW:849192842996331008 sumW:1096830956557258752 sumW:1089489028603145600 sumW:846384887711240448 sumW:532731525440824896 sumW:286164042685975616 sumW:136669567012815040 sumW:57851099900207792 sumW:20977159809331164 sumW:6304275496310242 sumW:1528472786664365 sumW:291966036564102 sumW:42903325794284 sumW:4712359946175 sumW:373183650164 sumW:20272819413 sumW:700788169 sumW:13846503 sumW:123392 sumW:716 

2-2: 46552007
2-3: 287352391
2-4: 4007225372
2-5: 83777549688
2-6: 2035933677571
2-7: 51280061340659
2-8: 1273403506909719
2-9: 30429749585476472
2-10: 690667933206075008
2-11: 14780936944170549248
2-12: 297128220788520124416
2-13: 5602081529545247162368
2-14: 99069474502776029446144
2-15: 1644984665577747801702400
2-16: 25687186131671122586894336
2-17: 377957359077004352377847808
2-18: 5250984095003666344757428224
2-19: 69027623918942270205563240448
2-20: 860370482439773079066806059008
2-21: 10188048480528158600181200191488
2-22: 114831159883204069955032047419392
2-23: 1234144658408372546025596701900800
2-24: 12668860412132588031827096008392704
2-25: 124410248182783988069054270924652544
2-26: 1170469951485814186951425001076555776
2-27: 10564459358280546793318234658548219904
2-28: 91595965028350694174355662316018597888
2-29: 763785112434171535163027554063381168128
2-30: 6132291515890674769990032073440213598208
2-31: 47456087423985104613911355446311237189632
2-32: 354332958900416746722535741271335401160704
2-33: 2554988603116320721375457870529095519961088
2-34: 17807701046502464957976542239505612776931328
2-35: 120068779044552388319689331174467469192462336
2-36: 783785865468887155482153154169988783598993408
2-37: 4957160587785669881533327513121994527383486464
2-38: 30397836895665284854086869656453170500561010688
2-39: 180849134620413962903122402144749931795666960384
2-40: 1044550292290009557588148205924733056150465937408
2-41: 5860609142081295257870753887299982059467301715968
2-42: 31959879151723926326323435930928425490262391783424
2-43: 169493474762416596869192112613640778986360674451456
2-44: 874604419077625791196456701218198179204516152344576
2-45: 4393352799277234749197093000626897083956382429872128
2-46: 21493707730466010009581702100146513244381510002278400
2-47: 102459774239093945941889121246476689943671951746662400
2-48: 476112505138792572364699147319382586576706867004702720
2-49: 2157541569967716577363635066143457551634299860549632000
2-50: 9538361625408350443316329206696258965579326332988293120
2-51: 41154552817829163127716873596321013858018136261423792128
2-52: 173360111914867186892342434606617419328944505585615765504
2-53: 713212529111298232939180536893381762304679120386348023808
2-54: 2866635701062646021836672213146207740584286682718482202624
2-55: 11260284051167823651168634941884414660098088136487970275328
2-56: 43239793468715095721495738070384401553201534140124445540352
2-57: 162369436888964829302910786988714316926764573237295039119360
2-58: 596397030564509213238120048955745635811624484484772641374208
2-59: 2143367510557256375689359165275987756770437074520040405991424
2-60: 7538810992059357238624407412088835247139401861127791062286336
2-61: 25957625742160368227091032415742232151278705366506088765063168
2-62: 87516478569239292175218098795409400848390141531623619829956608
2-63: 288988459314727115204080421721971134178362840457449200584491008
2-64: 934838003626433320541964880607880120456176404786451724640452608
2-65: 2963147907441480937776207812615838064105600279425242368032374784
2-66: 9205004409460467229827089759975495257187324445090338722929442816
2-67: 28030947361458924706873628476296304947492797653152061617545936896
2-68: 83691434067136941941946024793391255696468689617487842625770749952
2-69: 245040084817513078451981477182822474308248418495370282909856432128
2-70: 703698747583106198404680840547024484646296939133032924248027430912
2-71: 1982475732667622047759219009719842759510988732607071924511194480640
2-72: 5479939877113327121944170237211416828506974124291628239902090461184
2-73: 14864947853854354627335870851665048573084272527868228681714200739840
2-74: 39576843229356892910437569106151332412609191458875395244041344909312
2-75: 103437319518305352621916619713615923903175437409286218000849642192896
2-76: 265422465639111251315566718813620032587254749496158757076910487896064
2-77: 668784576653105341931367319424970950321484408956839307265076652670976
2-78: 1654949486160663137008221291651205871221312398341236144801926883573760
2-79: 4022471251998532806069660571774738424357233208975378170712660956413952
2-80: 9604366851718631711631305829588991067927529907390766372342394651672576
2-81: 22530360177595627702540100940714342262779293530928880265267144428617728
2-82: 51933232936505979156411355485219868346030963774128241188605444814274560
2-83: 117639428880040123491005317327879617991647435816164635974447540310376448
2-84: 261903676984753900050486772753148836784717482023339476774217760160874496
2-85: 573139862379307823672605123075414909812111669883299921331436413182279680
2-86: 1232984399517489395338987286066603827785371536641415617232571323893415936
2-87: 2607825841622894696991711217368196021463177721591709129291214428135489536
2-88: 5423357468189991458814614395309446288084862905772011873432757762693005312
2-89: 11090974052414048213875797041203656861933536021282418505365527189946105856
2-90: 22306155762437798152566372495214088218886948768439528856908400310691561472
2-91: 44123887356384135609537405612958324886578146758845287721787442676084244480
2-92: 85853082059566683589333140469250681243175534939091844563963684035246424064
2-93: 164326992302583448176340354542709053047785751939111505725630824074312679424
2-94: 309434952531402462155174564420847704257332020874469563061819368621326991360
2-95: 573287682291394335683056183965503669123641905777157183313227120585255944192
2-96: 1045087801507007300971281060080044370870760628059940534967349785824612843520
2-97: 1874747823517305814705247871338678883463509515706081521862032340656133767168
2-98: 3309593867634117763209860471151343443173645833701483181208434691128757846016
2-99: 5750148530567001575762900200578205876586973855263092695609469688799257690112
3-2: 2019601818
3-3: 1181166016
3-4: 2226276410
3-5: 8801453898
3-6: 55401334784
3-7: 430720040803
3-8: 3566082248372
3-9: 29150083534768
3-10: 226939293433266
3-11: 1656224176603655
3-12: 11262888525524948
3-13: 71271121297132864
3-14: 420014523806764672
3-15: 2309241633454670336
3-16: 11870083514074044416
3-17: 57171133564177358848
3-18: 258567813554386698240
3-19: 1100358700455695613952
3-20: 4414547593793553563648
3-21: 16726352474327310401536
3-22: 59950626508707773546496
3-23: 203575242472684536201216
3-24: 655854255628816285171712
3-25: 2007281709681477379162112
3-26: 5843245388873578405953536
3-27: 16196940087353670606258176
3-28: 42795496506978793938747392
3-29: 107887245690388746195697664
3-30: 259740427499280354859024384
3-31: 597679868956887250792087552
3-32: 1315506770439865564382887936
3-33: 2771556806402681263500558336
3-34: 5593042193472909253172789248
3-35: 10817606949394068126788747264
3-36: 20063986322527654183855718400
3-37: 35705104838802789497915310080
3-38: 60992378756609956500897529856
3-39: 100055264229619102448049192960
3-40: 157685952097874209495844913152
3-41: 238829347697605645666858565632
3-42: 347745054336996450414322778112
3-43: 486893959435048211328052232192
3-44: 655714361888365787949809270784
3-45: 849560402242775841408777453568
3-46: 1059135506900313046395956232192
3-47: 1270724453383777552509924540416
3-48: 1467389855895392551988459732992
3-49: 1631070111223503404464728965120
3-50: 1745254424184674814506162978816
3-51: 1797700486260142996540601925632
3-52: 1782581730088955304889458622464
3-53: 1701546469275552880623425159168
3-54: 1563424220317743674546282561536
3-55: 1382651048662241379354790592512
3-56: 1176800161709821124764854386688
3-57: 963798665093415887955216564224
3-58: 759433442742804623868888612864
3-59: 575607197597532345633452589056
3-60: 419561630912365849971175456768
3-61: 294025205860754999309710131200
3-62: 198045316562608325127489716224
3-63: 128171947639998516451474407424
3-64: 79673064467892052810916691968
3-65: 47549476505230781889986428928
3-66: 27233542760654410653705961472
3-67: 14961571272674692669563207680
3-68: 7880182473079160300279693312
3-69: 3976786589003417788134457344
3-70: 1921738718408874081661222912
3-71: 888644522279635503078703104
3-72: 392928722011086085228068864
3-73: 165998565585472886065332224
3-74: 66945714235488138371792896
3-75: 25748951520003931032780800
3-76: 9435596095160944011771904
3-77: 3290542294510151015596032
3-78: 1090751219243058483691520
3-79: 343215859135701850259456
3-80: 102367383409882015203328
3-81: 28894614905893293129728
3-82: 7705007946247868252160
3-83: 1937278311995985887232
3-84: 458296410732579323904
3-85: 101766915296023183360
3-86: 21155521127804055552
3-87: 4104969678986205696
3-88: 740991597922791168
3-89: 123961273837672368
3-90: 19135709399970104
3-91: 2712171248569460
3-92: 350893021625786
3-93: 41156490670946
3-94: 4340602605558
3-95: 407558657924
3-96: 33651748959
3-97: 2405504318
3-98: 145838683
3-99: 7291450
4-2: 195760204310
4-3: 29409445361
4-4: 8180356907
4-5: 6187298477
4-6: 9333851807
4-7: 22402393630
4-8: 67465213623
4-9: 225416222923
4-10: 789017904362
4-11: 2795908758754
4-12: 9783887839374
4-13: 33200261621908
4-14: 107878752419698
4-15: 332895733128954
4-16: 970498698360884
4-17: 2664372701779861
4-18: 6874636986700864
4-19: 16651050267027788
4-20: 37833185660844552
4-21: 80611047618391760
4-22: 161050496998145792
4-23: 301721065325603968
4-24: 530161018681767616
4-25: 873947150157053184
4-26: 1351988689021375744
4-27: 1963415968027801344
4-28: 2677554894178893824
4-29: 3429826427388731392
4-30: 4127741608951931904
4-31: 4667994683710380032
4-32: 4960936195264893952
4-33: 4954653786855057408
4-34: 4649859378606004224
4-35: 4099774620324371968
4-36: 3395032967295704576
4-37: 2639443458996999168
4-38: 1925451615662037504
4-39: 1317090408570384640
4-40: 844133632931304320
4-41: 506411318531430848
4-42: 284056137766045792
4-43: 148780626981615328
4-44: 72656600429031712
4-45: 33024553083844736
4-46: 13943361862747830
4-47: 5456010022758326
4-48: 1973429839201728
4-49: 657805658847850
4-50: 201368292031925
4-51: 56382995839851
4-52: 14372118911495
4-53: 3316640831594
4-54: 688359229753
4-55: 127473917501
4-56: 20859367558
4-57: 2979909624
4-58: 365953813
4-59: 37857291
4-60: 3208245
4-61: 213883
4-62: 10519
4-63: 339
4-64: 5
5-2: 23281071739420
5-3: 1265065789751
5-4: 126597399343
5-5: 18412524260
5-6: 6885441826
5-7: 4896256460
5-8: 5645533378
5-9: 8427150871
5-10: 13794059908
5-11: 22572306155
5-12: 35340294125
5-13: 51909686960
5-14: 70872586592
5-15: 89428570521
5-16: 103774294030
5-17: 110194250644
5-18: 106543894744
5-19: 93351887057
5-20: 73786180178
5-21: 52383190740
5-22: 33256687979
5-23: 18794664738
5-24: 9406514822
5-25: 4144420935
5-26: 1595911499
5-27: 532338454
5-28: 152086640
5-29: 36673040
5-30: 7318850
5-31: 1176404
5-32: 146331
5-33: 13216
5-34: 771
5-35: 22
6-2: 2759233253762170
6-3: 64441958163465
6-4: 2732273021505
6-5: 171803360098
6-6: 15285140544
6-7: 4032385213
6-8: 2371430043
6-9: 2595827285
6-10: 3449079660
6-11: 4474454560
6-12: 5388149350
6-13: 5929414012
6-14: 5907254842
6-15: 5290949847
6-16: 4240561757
6-17: 3032437403
6-18: 1930830903
6-19: 1092224597
6-20: 547086323
6-21: 241402102
6-22: 93122918
6-23: 31068318
6-24: 8832039
6-25: 2096036
6-26: 403545
6-27: 60448
6-28: 6595
6-29: 465
6-30: 16
7-2: 307102051473260480
7-3: 3336175052792909
7-4: 66133042991497
7-5: 2018141960421
7-6: 75233737293
7-7: 10159402095
7-8: 1633844956
7-9: 514223270
7-10: 587924270
7-11: 797189873
7-12: 950127132
7-13: 998844118
7-14: 929159910
7-15: 766805618
7-16: 562419076
7-17: 366896730
7-18: 212750077
7-19: 109390237
7-20: 49634894
7-21: 19721337
7-22: 6784496
7-23: 1989418
7-24: 486760
7-25: 96511
7-26: 14869
7-27: 1667
7-28: 121
7-29: 4
8-2: 31547750358545915904
8-3: 166939635467145856
8-4: 1589502031208954
8-5: 26800997052008
8-6: 414829198002
8-7: 22758650912
8-8: 54026160
8-9: 84032430
8-10: 117701999
8-11: 145305001
8-12: 157545621
8-13: 149948433
8-14: 125145061
8-15: 91350416
8-16: 58092296
8-17: 32012695
8-18: 15185179
8-19: 6150025
8-20: 2105588
8-21: 601842
8-22: 141274
8-23: 26614
8-24: 3886
8-25: 415
8-26: 29
8-27: 1
9-2: 2979936977200266346496
9-3: 7923322693083445248
9-4: 36250122936245904
9-5: 365815756499565
9-6: 2508465274707
9-7: 50869803852
9-8: 58862608
9-9: 11195659
9-10: 13487422
9-11: 14960986
9-12: 14791601
9-13: 12904360
9-14: 9867494
9-15: 6564752
9-16: 3771264
9-17: 1851918
9-18: 768393
9-19: 265376
9-20: 74783
9-21: 16728
9-22: 2853
9-23: 348
9-24: 27
9-25: 1
10-2: 259123974937186490384384
10-3: 353830151351200841728
10-4: 771205389915975168
10-5: 4899530709518778
10-6: 15592426586358
10-7: 106405208028
10-8: 23604881
10-9: 1184305
10-10: 7054669
10-11: 8314555
10-12: 8418517
10-13: 7264498
10-14: 5322667
10-15: 3292915
10-16: 1705466
10-17: 730293
10-18: 253964
10-19: 69890
10-20: 14638
10-21: 2191
10-22: 209
10-23: 9
11-2: 20807201325867974304727040
11-3: 14813059671091272744960
11-4: 15224870179739101184
11-5: 62818354620446904
11-6: 95610149978162
11-7: 201652784840
11-8: 7308517
11-9: 221299
11-10: 48372
11-11: 14577
11-12: 6338
11-13: 2397
11-14: 681
11-15: 136
11-16: 17
11-17: 1
12-2: 1548723912949889528764563456
12-3: 580588549991647586287616
12-4: 278857290579882082304
12-5: 760949436104246272
12-6: 563339495173698
12-7: 342002658604
12-8: 1583470
12-9: 84509
12-10: 10850
12-11: 477
12-12: 2
13-2: 107276716758191342498850275328
13-3: 21305677724731170426454016
13-4: 4748192929809776508928
13-5: 8653336457828436992
13-6: 3140846344654340
13-7: 516617278249
13-8: 257279
13-9: 29085
13-10: 3430
13-11: 105
14-2: 6941961253339799696954575814656
14-3: 732775162212607971075031040
14-4: 75377817944381517201408
14-5: 92151456189295951872
14-6: 16437554279836820
14-7: 693587141820
14-8: 47782
14-9: 7595
14-10: 830
14-11: 15
15-2: 421196531006567770330710765731840
15-3: 23659915968695653611178295296
15-4: 1119157241890069349924864
15-5: 918806230486761209856
15-6: 80461906870231824
15-7: 826764492846
15-8: 10844
15-9: 1421
15-10: 146
15-11: 1
16-2: 24042547002441572147562552181653504
16-3: 718632116324736744804812062720
16-4: 15589255733005973526151168
16-5: 8586232439941931991040
16-6: 368024053146724224
16-7: 874522327062
16-8: 1822
16-9: 171
16-10: 17
17-2: 1295146781110036011881921966187216896
17-3: 20578829684464064968349376839680
17-4: 204332839399892951926571008
17-5: 75331199869515030593536
17-6: 1573548819264567296
17-7: 820441738910
17-8: 221
17-9: 10
17-10: 1
18-2: 66029303595263892028132863553208057856
18-3: 556871614201367803921304364515328
18-4: 2527190129424288846283014144
18-5: 621740884741658498826240
18-6: 6296621908839737344
18-7: 682132072774
18-8: 19
19-2: 3194218157933801957976543325960311668736
19-3: 14272589607367427373918251267391488
19-4: 29569539448642381895528611840
19-5: 4837501662391305525788672
19-6: 23616544668557336576
19-7: 501941791428
19-8: 1
20-2: 146972934276505615061533543809663622971392
20-3: 347237738616607363010259866460618752
20-4: 328088981551513863751525728256
20-5: 35556799357605522735890432
20-6: 83161844117905965056
20-7: 326205810491
21-2: 6446192754934070723802083560991717412831232
21-3: 8036142658869202400751657078761717760
21-4: 3459645384419682090274869215232
21-5: 247399235683903246239268864
21-6: 275395622553074302976
21-7: 186658706356
22-2: 270043039149286741657892197978909157657411584
22-3: 177270044547140468628082237523881885696
22-4: 34740980326511566677933153058816
22-5: 1632641727625069314527199232
22-6: 859056868749800898560
22-7: 93638845521
23-2: 10824998488839405142535704209253118497613938688
23-3: 3734292423112755384498825963474322980864
23-4: 332837790927022711521264992780288
23-5: 10237537091293204242029871104
23-6: 2528083732717185269760
23-7: 40942953870
24-2: 415936866815251900622282056799009219378455511040
24-3: 75254563605344482694275003054862192607232
24-4: 3047550703744027475043410511921152
24-5: 61102404281331897860565762048
24-6: 7029054843406025490432
24-7: 15481914282
25-2: 15343202644241571559181479024001072533886359044096
25-3: 1453198778485436235548794401507892757790720
25-4: 26710905862031405123977273772343296
25-5: 347678015967811035939397959680
25-6: 18489499177680182968320
25-7: 5010379405
26-2: 544162407882777861717755969779381955422989280346112
26-3: 26931061062388421684679671354238947150528512
26-4: 224432898320823537999789548539740160
26-5: 1888878431555123215899172012032
26-6: 46069959216189480632320
26-7: 1368523752
27-2: 18580417843402776257095991208220877458451473167810560
27-3: 479669731945396811167094101056078439732215808
27-4: 1810253916652842802814166395678359552
27-5: 9811758882160473922722141831168
27-6: 108861038535585151582208
27-7: 309523953
28-2: 611571782915063405181637315876751849679004376965840896
28-3: 8221943752485264011492050629473234876280864768
28-4: 14034620180303564188812695803046920192
28-5: 48794793899357716306190927921152
28-6: 244199085765457575149568
28-7: 56435335
29-2: 19427593256317314970873831638560654639243553199978708992
29-3: 135798481076577367622363259310451115019431051264
29-4: 104709289649841032852341024151771807744
29-5: 232602265457867186540765297770496
29-6: 520531517936315851079680
29-7: 7972609
30-2: 596282598705854888596478934565739793809804219501231734784
30-3: 2163781699649016035398169928019272961582035894272
30-4: 752616658003026048385060942312940503040
30-5: 1064053674818876433087897526075392
30-6: 1055256144015647219646464
30-7: 818928
31-2: 17701057200987340221063641193174069439455817420763020918784
31-3: 33297211146543514169113102960980021272283929640960
31-4: 5216938655355333141538944555155003015168
31-5: 4676118573477752241241540609966080
31-6: 2036185405555605998927872
31-7: 54413
32-2: 508727975484563040316117353720262695366436184974960449552384
32-3: 495366286025670024919493178868252313754988449890304
32-4: 34908519480160411011523576968348631564288
32-5: 19761210399289457639816258826272768
32-6: 3742248791097536275283968
32-7: 1755
33-2: 14168118152296706835803439543427646383002257504426270161633280
33-3: 7131656734228697542291569738908247703842933903982592
33-4: 225691480974572277618068158875818249945088
33-5: 80381110542655142754222150413975552
33-6: 6555111368639790733852672
34-2: 382698797358975175181397861565688145540120965261750136014372864
34-3: 99448036229411755247085944267572832084460595805421568
34-4: 1411032816440083151219803485278585057443840
34-5: 314983716125543759915013058087354368
34-6: 10949811856427191092903936
35-2: 10034088965793337780139672641265738171959893942775876018944081920
35-3: 1344365505536267561518651165069080605115411119176941568
35-4: 8537788024375654448166120487856835368321024
35-5: 1190073512544049868279584840864497664
35-6: 17451480675412743274102784
36-2: 255571964206468674762088789401519462722944592187960967203005661184
36-3: 17632198105661253888361718129185447364336887659126325248
36-4: 50034288191149039302921749060131297926578176
36-5: 4338578812984535460795236901999083520
36-6: 26549192110125915029110784
37-2: 6328252521096026694350163332680282208778390822489890000271591866368
37-3: 224541561379614290666516491272708290068523903172342710272
