data/github/github.txt 
graph size:n1: 56519 n2:120867, m 440237
load graph
H:11
T:100000
maxE 13509, maxDuv 3675
start dp first v5
first dp time 2hop 3.020000
maxPlen 11

sumW 2:10273507 3:1121339179 4:96889695368 5:6208205320055 6:329637301943193 7:15579447144766684 8:625788411437192960 9:19870502769144033280 10:480729473145661161472 

second dp time 39.400000
2-2: 50894505
2-3: 304495470
2-4: 4219647047
2-5: 87564625323
2-6: 2114045771972
2-7: 52957421916038
2-8: 1307805056546486
2-9: 31064895322478140
2-10: 700709009285101824
3-2: 2037259845
3-3: 1310447836
3-4: 2261681690
3-5: 8750880086
3-6: 54291080242
3-7: 418741059289
3-8: 3470994864886
3-9: 28616091460362
3-10: 225792223698861
4-2: 196960889939
4-3: 29572786892
4-4: 9202291291
4-5: 6449016158
4-6: 9760326549
4-7: 24087259367
4-8: 76110134599
4-9: 266378055573
4-10: 949658078547
5-2: 23374029507093
5-3: 1280418793354
5-4: 124308518941
5-5: 23513911814
5-6: 7768881863
5-7: 5463549845
5-8: 6174166143
5-9: 8146448647
5-10: 10607607200
6-2: 2762403646650384
6-3: 65876398529521
6-4: 2670088295031
6-5: 199176432008
6-6: 26400821336
6-7: 7638810349
6-8: 3658610800
6-9: 2011550920
6-10: 1372658020
7-2: 306420297968825792
7-3: 3449342068622679
7-4: 64585554413974
7-5: 2488373345741
7-6: 53844535365
7-7: 34524338
7-8: 55077933
7-9: 88865575
7-10: 133933235
8-2: 31367425606616653824
8-3: 174513760171497120
8-4: 1557171559965593
8-5: 35476508507961
8-6: 150832630670
8-7: 13793883
8-8: 16342333
8-9: 31640839
8-10: 52686719
9-2: 2952930391318324051968
9-3: 8365029734733601792
9-4: 35728741872626732
9-5: 515784554056170
9-6: 466446831706
9-7: 3815991
9-8: 1234673
9-9: 40612
9-10: 16445
10-2: 255984333306804949745664
10-3: 376732695802250199040
10-4: 766298842510675840
10-5: 7249315619232002
10-6: 1405417762574
10-7: 716000
10-8: 14157
10-9: 7865
10-10: 3146
ed
time:39434ms
