data/livejournal-groupmemberships/livejournal.txt 
graph size:n1: 3201203 n2:7489073, m 112307385
load graph
maxDu:300 maxDv:1053676
H:5
T:100000
start dp first
2201203 6124093, 1 30  0
2201203 6124094, 1 29  0
2201203 6460203, 1 28  0
2201203 6690750, 2 26  0
2201203 7206100, 2 24  0
2201203 7273235, 9 23  0
2201203 7275974, 14 22  0
2201203 7296744, 6 21  0
2201203 7303387, 1 20  0
2201203 7343122, 20 19  0
2201203 7373141, 5 18  0
2201203 7402196, 3 17  0
2201203 7439743, 1 16  0
2201203 7446199, 32 15  0
2201203 7453641, 4 14  0
2201203 7454770, 21 13  0
2201203 7456814, 10 12  0
2201203 7466507, 39 11  0
2201203 7471328, 24 10  0
2201203 7475077, 26 9  0
2201203 7475925, 454 8  0
2201203 7477434, 135 7  0
2201203 7478079, 454 6  0
2201203 7478653, 339 5  0
2201203 7479000, 308 4  0
2201203 7480261, 260 3  0
2201203 7483978, 222 2  0
2201203 7488033, 1040 1  0
2201204 7455712, 160 35  0
2201204 7455976, 229 34  0
2201204 7481996, 1495 33  0
2201204 7482981, 1333 32  0
2201204 7484213, 1933 31  0
2201204 7484713, 2198 30  0
2201204 7485102, 2685 29  0
2201204 7485284, 2318 28  0
2201204 7485884, 3634 27  0
2201204 7486117, 3852 26  0
2201204 7486809, 4023 25  0
2201204 7487269, 6254 24  0
2201204 7487486, 6382 23  0
2201204 7487711, 7338 22  0
2201204 7487943, 10069 21  0
2201204 7488360, 12070 20  0
2201204 7488366, 14284 19  0
2201204 7488370, 14764 18  0
2201204 7488441, 15390 17  0
2201204 7488518, 18525 16  0
2201204 7488523, 18938 15  0
2201204 7488568, 19966 14  0
2201204 7488754, 27639 13  0
2201204 7488867, 34826 12  0
2201204 7488870, 39058 11  0
2201204 7488894, 40686 10  0
2201204 7488895, 42877 9  0
2201204 7488913, 43724 8  0
2201204 7488931, 48717 7  0
2201204 7488956, 53889 6  0
2201204 7488959, 54863 5  0
2201204 7489011, 69637 4  0
2201204 7489034, 60046 3  0
2201204 7489052, 90711 2  0
2201204 7489071, 271722 1  0
2201205 7108639, 10 35  0
2201205 7212100, 7 34  0
2201205 7333982, 21 33  0
2201205 7382027, 23 32  0
2201205 7409783, 34 31  0
2201205 7423081, 80 30  0
2201205 7431461, 75 29  0
2201205 7449478, 129 28  0
2201205 7471863, 414 27  0
2201205 7474765, 567 26  0
2201205 7476962, 710 25  0
2201205 7479371, 707 24  0
2201205 7481084, 843 23  0
2201205 7483427, 1627 22  0
2201205 7483649, 1700 21  0
2201205 7484098, 1335 20  0
2201205 7484428, 2135 19  0
2201205 7484454, 1897 18  0
2201205 7484522, 1901 17  0
2201205 7485361, 2716 16  0
2201205 7486036, 2205 15  0
2201205 7486361, 3733 14  0
2201205 7486613, 2967 13  0
2201205 7487253, 4729 12  0
2201205 7487999, 9610 11  0
2201205 7488014, 9477 10  0
2201205 7488046, 9372 9  0
2201205 7488763, 25600 8  0
2201205 7488852, 27606 7  0
2201205 7488876, 33389 6  0
2201205 7488959, 44297 5  0
2201205 7488996, 57644 4  0
2201205 7489038, 63406 3  0
2201205 7489044, 76110 2  0
2201205 7489069, 197823 1  0
2201206 7344051, 28 34  0
2201206 7428014, 67 33  0
2201206 7429100, 67 32  0
2201206 7465111, 169 31  0
2201206 7471548, 435 30  0
2201206 7472565, 439 29  0
2201206 7477786, 672 28  0
2201206 7482122, 1197 27  0
2201206 7484164, 1989 26  0
2201206 7484739, 1647 25  0
2201206 7485472, 2189 24  0
2201206 7485633, 1649 23  0
2201206 7485710, 2732 22  0
2201206 7486648, 2773 21  0
2201206 7486982, 4128 20  0
2201206 7487538, 6175 19  0
2201206 7488011, 8583 18  0
2201206 7488053, 6378 17  0
2201206 7488202, 9720 16  0
2201206 7488389, 6922 15  0
2201206 7488715, 22166 14  0
2201206 7488741, 14239 13  0
2201206 7488756, 22321 12  0
