data/dblp-author/dblp.txt 
graph size:n1: 1953085 n2:5624219, m 12282059
load graph
exact:1952578
sample:507
start dp first
sumW:1788496 sumW:9035076 sumW:28460638 sumW:124947185 sumW:512683583 sumW:1375113130 sumW:2403318719 sumW:2739329406 sumW:2007174613 sumW:917184264 sumW:246906899 sumW:34977532 sumW:1961241 

2-2: 31635537
2-3: 334380636
2-4: 8632024936
2-5: 355946644006
2-6: 17284276462572
2-7: 842087847654301
2-8: 38628802058491672
2-9: 1635141260929196544
2-10: 63632827529341648896
2-11: 2281307265544851554304
2-12: 75636942381173335654400
2-13: 2328910528138707078217728
2-14: 66864256760944543045517312
2-15: 1796711762620819539306217472
2-16: 45340216262379620546719514624
2-17: 1077835830346654216392699543552
2-18: 24205154016492955252050412699648
2-19: 514831378828384193471850758537216
2-20: 10395512895705997898843060768342016
2-21: 199705289454700332840691987204014080
2-22: 3657307882911029038517998271382683648
2-23: 63967886875189284317361114778953580544
2-24: 1070367154289393833622166864046399160320
2-25: 17161808746123965986455274004706471444480
2-26: 264055179050706979447233481446557692723200
2-27: 3904150811101359124443902020789133723566080
2-28: 55541635985382513274440414851156999030177792
2-29: 761193956390257132123555661880292016983638016
2-30: 10061170554472194982461170448237717797784780800
2-31: 128392724537802927561950141233772470773567455232
2-32: 1583455883779941626510152457248535714548485718016
2-33: 18891002548442510488881630459424459888545176223744
2-34: 218209799335715932047972910103437259532202502258688
2-35: 2442469129550115465184214994941417732137012852424704
2-36: 26513384502995840753479276001605947789889690935492608
2-37: 279325068137238844072906294936331738934535281046454272
2-38: 2858076079920989958528268285806194458154101440759463936
2-39: 28421797188779998829977577519060919360004212134942605312
2-40: 274867440351879322134817421347273449797616137900669272064
2-41: 2586756761149743115611655209011294238928135043955669598208
2-42: 23702941940725783647393071431032529359927138809061889277952
2-43: 211594933955437653523535676012769979568325327130959835824128
2-44: 1841177033741762003992291563008987843763294398412554906894336
2-45: 15624051509467854060770008661518205939232829060717464600444928
2-46: 129363113320363131751570336016528825018774665112546362867580928
2-47: 1045556946339243696770460282222377321544056599072192564895416320
2-48: 8252747638806784959760046290794223766761263852886628565793112064
2-49: 63642649167631072952880606488274074489346090469592034101042348032
2-50: 479705119352033433038112851123074990902597832879033588256253935616
2-51: 3535471683953283304046002804259402779962479175326683186776227446784
2-52: 25487723550204931753471665772301872597947514052066948379265856438272
2-53: 179797162972608040902150740861960208147143789944996514917625892962304
2-54: 1241521254128948229707197997130405456083431110102255304520177949868032
2-55: 8394421804827530040879549612530942206446429933189533554851754260037632
2-56: 55594665786006555494326303767282610266132955474220454750911308368969728
2-57: 360758425651201091115291188535847784606107414792696210236170619689369600
2-58: 2294411757039344362936950808706777530905642083455302197644151965286924288
2-59: 14306179444338521882692303661401441089222333924411031454402814499016933376
2-60: 87477220261750373665775426867755979911640934658456141260947260765684891648
2-61: 524689901306945464641077161453881932897956559987716341913169408748517588992
2-62: 3087879562553656755557291281748694303967231967653923655473822808385934852096
2-63: 17835186633819789823234822981914586910546290935478679772706703169391624716288
2-64: 101125524689462560198223503890476715846517019960987389952873910179162184744960
2-65: 563005320789638420957393923725575750759096136611042842307491088799495194935296
2-66: 3078451349152372397402838458414578936311505643956710395873612905762525416521728
2-67: 16535470878178256437459589452858860441867289501473618276324573293320327644839936
2-68: 87268746205364291878853205615864101746325658990449843036776935925019046293012480
2-69: 452636300698703719865694356003251639045415182072048782306868271985933415929085952
2-70: 2307684083591632837507931492012804282922157970266959582722340748632720107894734848
2-71: 11567111083790063938578372125220427048072777533914378752293914310852845768382873600
2-72: 57013510765434348647403680627062106276410516252651684999007993013434841585382588416
2-73: 276385555692326040791705670574520456093906940282028078296182829932597528204522029056
2-74: 1318000673691832779500648590222844906497239067833462793811221640998714996613229576192
2-75: 6183786669369661429757004880170745877161331709398102951348583172464673207786531717120
2-76: 28549970572922826968288383379011908546112100939969163790224618074121605993232466968576
2-77: 129730118498555962916911597723275875340259672739768268709395824283377437941107529875456
2-78: 580269402284244475811633957285014612947635419960396933489570022212500212905660859285504
2-79: 2555289250402871528761659957279046208422876960477114891083875876029464610269934896807936
2-80: 11079955713814021665569520125499152334086783420059058086932025291145978418827316804190208
2-81: 47313797645482433949461545071136298339172015402253002235264143056858516217809223276298240
2-82: 198999506562753207009834340170486492241770708559634702789746467055037745623632117764194304
2-83: 824501695485288810641095684280501699802594530625796337587441337582296026209410819574202368
2-84: 3365625999227744746502619584817696356391168750286155484635816195689629293169717352339603456
2-85: 13537322432582724776858001822292300672213250918873976218132722196125957748499864683213225984
2-86: 53659759196381357466960174842731423162991361374838777085720953179940301858484146995481018368
2-87: 209637363593993115124926239012288546659752787173867395935490784500122214219377382334522195968
2-88: 807321121040103629514775928751819870250393492300669800875094339396651494438532211722738991104
2-89: 3065024194985331077538759978338580275111457119852751859621109924747593651531734452819753697280
2-90: 11473145540791561248933595836101072656605220088503365006381556572543608763268825727394599927808
2-91: 42348877402536522417166381535443629986465313705375562821286785437079796997156166020021748760576
2-92: 154156098898091165497006487118928416772085449218827997446584049181029071342937750902952393965568
2-93: 553460177283201727052237243372097977891213200234644885019241765232367362896042516695599875620864
2-94: 1960041325878725482939073478848614794586922961019546652096374055335104445663310816769055347703808
2-95: 6847664945981468581631397632574993538028292943844309375072748837042445716482121616290744167825408
2-96: 23602738050006767997683541939181939886534141516387807547136056825567373532136874561145010118459392
2-97: 80272732251281963140631262214237637626129656630861058874752911894885474360804470838795569243095040
2-98: 269402519034253741735552587085296281732005249920726945516469556098692203152282926616784811763695616
2-99: 892286697724043111661132668457700116012021756981145010500310852356433827098893238434754222469677056
3-2: 13738992
3-3: 27477608
3-4: 210570859
3-5: 2598462964
3-6: 35965262973
3-7: 483816489614
3-8: 6048673003107
3-9: 69439828556346
3-10: 731040586425878
3-11: 7073213681942642
3-12: 63107500081427456
3-13: 521055948000979328
3-14: 3995183583399611904
3-15: 28540116697748398080
3-16: 190525157849927942144
3-17: 1191877164222236590080
3-18: 7004850572068131962880
3-19: 38767622393220804116480
3-20: 202476578585031817035776
3-21: 999940112158754265366528
3-22: 4677977576855910404325376
3-23: 20766259524790027705909248
3-24: 87609437664776888948621312
3-25: 351773378666020517894422528
3-26: 1346097401898885067927715840
3-27: 4915100069084737157172559872
3-28: 17144861501044957062042222592
3-29: 57193974942286202202404945920
3-30: 182649526504791419694742503424
3-31: 558916463549616818148882776064
3-32: 1640274351210056015512703336448
3-33: 4620442028422857853003072798720
3-34: 12502044432001599036075613880320
3-35: 32517753399831229569431737729024
3-36: 81356721791343207871282621186048
3-37: 195917145599049470845440959184896
3-38: 454373179898745204542989219659776
3-39: 1015436727863178279925460020232192
3-40: 2187843354593354188494640567549952
3-41: 4546858640248487571148549212078080
3-42: 9118712503048116608394823362150400
3-43: 17654866448657881454020170512072704
3-44: 33012157330423662202299734802038784
