data/dblp-author/dblp.txt 
graph size:n1: 1953085 n2:5624219, m 12282059
load graph
maxDu:1386 maxDv:287
H:11
T:6000000
start dp first
dp first 5.68s
maxPlen 11
sumW:31673959 sumW:36616423 sumW:47919297 sumW:144864019 sumW:535387896 sumW:1395455296 sumW:2414883429 sumW:2743420963 sumW:2008815566 sumW:917979311 

2-2: 31673959
2-3: 334733210
2-4: 8650614864
2-5: 356842294474
2-6: 17328336632806
2-7: 844260068867407
2-8: 38731562846598768
2-9: 1639685461597173248
2-10: 63818936475004002304
3-2: 14024404
3-3: 27505082
3-4: 211306587
3-5: 2612349667
3-6: 36190477645
3-7: 486959525190
3-8: 6086852066752
3-9: 69849657309582
3-10: 734985824717106
4-2: 271570208
4-3: 12549617
4-4: 35206087
4-5: 161933562
4-6: 1200405290
4-7: 11082467647
4-8: 102199904423
4-9: 872005573808
4-10: 6763500136817
5-2: 14404605558
5-3: 28598409
5-4: 59394256
5-5: 125482097
5-6: 238710585
5-7: 433191262
5-8: 796962663
5-9: 1489104565
5-10: 2713857121
6-2: 662510723503
6-3: 82222807
6-4: 160214771
6-5: 307953444
6-6: 485172542
6-7: 640850887
6-8: 767462980
6-9: 928402767
6-10: 1207479087
7-2: 26108009501221
7-3: 216375954
7-4: 395228543
7-5: 739104631
7-6: 1100149432
7-7: 1291557110
7-8: 1222600339
7-9: 987948499
7-10: 767087102
8-2: 897376187496148
8-3: 504889230
8-4: 835569488
8-5: 1545928108
8-6: 2266382019
8-7: 2582144521
8-8: 2287698042
8-9: 1585970855
8-10: 883968254
9-2: 27319575924399576
9-3: 1058530030
9-4: 1498011157
9-5: 2747431985
9-6: 4006033468
9-7: 4530776646
9-8: 3957298671
9-9: 2651758346
9-10: 1349611591
10-2: 745821193160576768
10-3: 2046260142
10-4: 2281728586
10-5: 4140224440
10-6: 6014117680
10-7: 6783837197
10-8: 5906846985
10-9: 3934302916
10-10: 1970420689
time:125994ms
